idu,id_adr,type_lien,nb_adr,nb_parc
75104000AV0105,75104_8678_00067,GEO,1,1
75104000AU0059,75104_4583_00007,GEO,2,1
75104000AV0097,75104_8678_00055,GEO,1,1
75104000AW0079,75104_8678_00078,GEO,1,1
75104000AN0094,75104_8953_00006,GEO,2,1
75104000AV0046,75104_8678_00034,GEO,1,1
75104000AV0012,75104_8678_00058,GEO,1,1
75104000AV0006,75104_8678_00068,GEO,1,1
75104000AV0055,75104_8678_00037,GEO,1,1
75104000AV0050,75104_8678_00042,GEO,1,1
75105000AK0108,75105_4108_00053,GEO,1,1
75105000BL0022,75105_6448_00036,GEO,2,1
75105000BL0010,75105_2137_00011,GEO,3,1
75105000AR0068,75105_4108_00012,GEO,1,1
75105000BL0020,75105_6448_00030,GEO,1,1
75105000BL0050,75105_5340_00002,GEO,2,1
75107000AE0072,75107_8631_00032,GEO,2,1
75107000AE0039,75107_8631_00031,GEO,1,1
75106000AP0019,75106_1562_00005,GEO,1,1
75105000BI0069,75105_3749_00018,GEO,1,1
75105000BL0027,75105_6448_00050,GEO,1,1
75107000AD0043,75107_8631_00014,GEO,2,1
75105000BL0010,75105_6448_00034,GEO,3,1
75106000BC0052,75106_8653_00010,GEO,2,1
75105000AT0026,75105_1642_00004,GEO,7,1
75107000AE0072,75107_8631_00034,GEO,2,1
75105000AS0035,75105_3751_00004,GEO,3,1
75107000AL0048,75107_8762_00013,GEO,1,1
75105000BI0046,75105_3749_00004,GEO,1,1
75105000AT0026,75105_4108_00037,GEO,7,1
75105000BI0082,75105_9517_00010,GEO,3,1
75106000AG0033,75106_8619_00103,GEO,2,1
75105000BL0023,75105_6448_00040,GEO,4,1
75105000BL0072,75105_6448_00062,GEO,1,1
75105000BJ0040,75105_3749_00005,GEO,2,1
75105000BK0035,75105_3749_00021,GEO,2,1
75107000AF0039,75107_8079_00001,GEO,2,1
75105000BL0069,75105_6448_00064,GEO,2,1
75105000AR0089,75105_4108_00015,GEO,4,1
75105000AR0069,75105_4108_00006,GEO,3,1
75105000AT0026,75105_4108_00035,GEO,7,1
75106000BL0018,75106_2758_00008,GEO,1,1
75105000BL0095,75105_8596_00016,GEO,6,1
75105000BL0095,75105_6448_00047_b,GEO,6,1
75106000BC0058,75106_8653_00004,GEO,3,1
75106000BC0051,75106_8653_00012,GEO,1,1
75105000AS0035,75105_3751_00002,GEO,3,1
75105000BK0036,75105_2143_00005,GEO,2,1
75105000BI0056,75105_3749_00016,GEO,1,1
75105000AR0069,75105_4108_00008,GEO,3,1
75105000BK0036,75105_3749_00017,GEO,2,1
75105000AR0089,75105_3751_00003,GEO,4,1
75105000AR0083,75105_3751_00013,GEO,1,1
75105000BL0069,75105_6448_00066,GEO,2,1
75106000AP0014,75106_1562_00004,GEO,1,1
75105000BI0075,75105_3749_00024,GEO,1,1
75105000AS0009,75105_3751_00012,GEO,2,1
75105000BL0021,75105_6448_00032,GEO,1,1
75105000BL0095,75105_8596_00014,GEO,6,1
75106000AG0033,75106_6871_00001,GEO,2,1
75106000AG0030,75106_6871_00006,GEO,2,1
75106000BC0057,75106_8653_00006,GEO,1,1
75105000BL0023,75105_1053_00010,GEO,4,1
75107000AD0073,75107_8631_00013,GEO,2,1
75105000AS0035,75105_3573_00001,GEO,3,1
75105000BJ0038,75105_3749_00009,GEO,1,1
75105000AR0089,75105_7576_00047,GEO,4,1
75107000AF0031,75107_8079_00008,GEO,1,1
75107000AE0029,75107_8619_00185,GEO,2,1
75105000BI0082,75105_9517_00008,GEO,3,1
75105000BJ0039,75105_3749_00003,GEO,1,1
75105000AT0026,75105_1642_00002,GEO,7,1
75105000BL0095,75105_6448_00049,GEO,6,1
75105000AS0009,75105_3751_00014,GEO,2,1
75105000BL0050,75105_6448_00058,GEO,2,1
75105000BL0095,75105_8596_00010,GEO,6,1
