Geo Shape;DEP;INSEE_COM;NOM_COM;IRIS;CODE_IRIS;NOM_IRIS;TYP_IRIS;Geo Point;ID
"{""coordinates"": [[[2.363872116727157, 48.867516286784095], [2.364306784904801, 48.86730904968624], [2.364858189028701, 48.866248055796426], [2.365426063659955, 48.86528787220735], [2.364727630039896, 48.86476974268821], [2.36449812943786, 48.864698375486256], [2.36344108117722, 48.864525480032306], [2.362616233742182, 48.86498335259782], [2.360888418426915, 48.86581862168858], [2.361456628367953, 48.86639363646506], [2.36201050901712, 48.86680399222721], [2.362146665643204, 48.86681730872113], [2.362838639050925, 48.86708360230209], [2.362918106019649, 48.86716226804502], [2.36301756960022, 48.86716639480335], [2.363872116727157, 48.867516286784095]]], ""type"": ""Polygon""}";75;75103;Paris 3e Arrondissement;1001;751031001;Enfants Rouges 1;H;48.86593444411897, 2.363357534281915;IRIS____0000000751031001
"{""coordinates"": [[[2.376994524397442, 48.85793265324636], [2.373490399967642, 48.85645471563446], [2.371983110989935, 48.85814208692265], [2.373778692921376, 48.85877654346786], [2.375876422775739, 48.85945122059926], [2.376994524397442, 48.85793265324636]]], ""type"": ""Polygon""}";75;75111;Paris 11e Arrondissement;4315;751114315;Roquette 15;H;48.857990785413406, 2.3745290878180194;IRIS____0000000751114315
"{""coordinates"": [[[2.360890616340624, 48.82108262042645], [2.363324937964329, 48.82182859994813], [2.364739130615731, 48.82000588551363], [2.363273764295258, 48.81955020035489], [2.362022923797809, 48.81926202708311], [2.360890616340624, 48.82108262042645]]], ""type"": ""Polygon""}";75;75113;Paris 13e Arrondissement;5102;751135102;Maison Blanche 2;H;48.82052141809246, 2.3627697472047653;IRIS____0000000751135102
"{""coordinates"": [[[2.341795702304383, 48.826448159147766], [2.341592211729773, 48.82649020905758], [2.341600018072802, 48.82835285906384], [2.34128286098483, 48.83027487399309], [2.341249912243379, 48.83158867631544], [2.34115748484886, 48.83178782785168], [2.341072060968536, 48.831971728544545], [2.344236345114972, 48.83113021935095], [2.344164147812027, 48.83080514997004], [2.343882722357059, 48.830111089187575], [2.343284407789672, 48.82905283987517], [2.342839906440678, 48.82854584916146], [2.342540342080222, 48.82821233339814], [2.341795702304383, 48.826448159147766]]], ""type"": ""Polygon""}";75;75113;Paris 13e Arrondissement;5118;751135118;Maison Blanche 18;H;48.82983771951324, 2.3424182305657566;IRIS____0000000751135118
"{""coordinates"": [[[2.319327980186944, 48.82460727234213], [2.318386835669022, 48.82481056785773], [2.31901568969273, 48.825574126354034], [2.319585359343969, 48.82617725478254], [2.321022593752589, 48.825849955195956], [2.321690307149265, 48.82561990585049], [2.321239000742426, 48.82544466434768], [2.32585204753316, 48.824426579287866], [2.325519815947002, 48.82315388176638], [2.324914638926295, 48.82329166958592], [2.323815362158869, 48.82361373258855], [2.319327980186944, 48.82460727234213]]], ""type"": ""Polygon""}";75;75114;Paris 14e Arrondissement;5504;751145504;Petit Montrouge 4;H;48.824660233001175, 2.3221484610666887;IRIS____0000000751145504
"{""coordinates"": [[[2.316139261464687, 48.829802775881696], [2.314289867066489, 48.830695160242406], [2.313827927603143, 48.830394817455606], [2.31334337002551, 48.83015729925403], [2.312326034472715, 48.83096359055444], [2.314153916589927, 48.83181320353586], [2.31716374243846, 48.83114869914078], [2.316139261464687, 48.829802775881696]]], ""type"": ""Polygon""}";75;75114;Paris 14e Arrondissement;5610;751145610;Plaisance 10;H;48.83090018467894, 2.3148346533935675;IRIS____0000000751145610
"{""coordinates"": [[[2.262001399226032, 48.83853949796551], [2.263186039101238, 48.83810790600278], [2.262760016321318, 48.83778870097369], [2.263574287100548, 48.837436664866765], [2.263538505390378, 48.837269160713184], [2.26292631783592, 48.83672306626253], [2.261755861499594, 48.83557813647484], [2.261574882607577, 48.83556262928875], [2.26128588756636, 48.8356705688222], [2.26016479503352, 48.837099044923086], [2.261313597339424, 48.83794526244096], [2.262001399226032, 48.83853949796551]]], ""type"": ""Polygon""}";75;75116;Paris 16e Arrondissement;6101;751166101;Auteuil 1;H;48.83708760573007, 2.2618613579052966;IRIS____0000000751166101
"{""coordinates"": [[[2.258950587565175, 48.84440163494573], [2.258737415945541, 48.844348150796314], [2.258605374476376, 48.84424300558952], [2.257147977185315, 48.84238395768461], [2.257597766996665, 48.84132189280212], [2.256630485307645, 48.8400711527593], [2.256314048671712, 48.83999903470431], [2.256047494907815, 48.842064137299545], [2.256083915917654, 48.842471779490154], [2.258465202376581, 48.8471992632526], [2.258708689011429, 48.84751734970587], [2.258930550350099, 48.84791894278916], [2.259731885987998, 48.84791491002762], [2.259660899179801, 48.847731899170164], [2.259014580154068, 48.84670531643791], [2.258716732895638, 48.845993869319464], [2.25869488562401, 48.84513483611699], [2.258787497537317, 48.84475497646106], [2.258950587565175, 48.84440163494573]]], ""type"": ""Polygon""}";75;75116;Paris 16e Arrondissement;6109;751166109;Auteuil 9;H;48.84387865903607, 2.2575815380922784;IRIS____0000000751166109
"{""coordinates"": [[[2.28165264856612, 48.85621114243183], [2.282036553744908, 48.85653991353277], [2.282609619867908, 48.856197097633896], [2.282183491269903, 48.85586627627562], [2.281937443277526, 48.855621973151536], [2.281922180269435, 48.85554273797406], [2.28360121141938, 48.85455721154611], [2.282936553317296, 48.85403070222509], [2.280736337170161, 48.85268734194921], [2.280355632775107, 48.85291888675747], [2.280205024118522, 48.85296924442277], [2.27741728572838, 48.85370880447998], [2.278358555685341, 48.854333245090736], [2.279037072455437, 48.854643117722055], [2.279591750358576, 48.85484161960625], [2.280473014046091, 48.855176087695185], [2.28165264856612, 48.85621114243183]]], ""type"": ""Polygon""}";75;75116;Paris 16e Arrondissement;6201;751166201;Muette 1;H;48.854316813103544, 2.280800321478598;IRIS____0000000751166201
"{""coordinates"": [[[2.313656051163419, 48.88380109524854], [2.312724803578299, 48.88327503934218], [2.311274667058536, 48.88187633583667], [2.311147850132671, 48.88187650556545], [2.308994384028619, 48.882827282823335], [2.309008105985789, 48.88292359075409], [2.30727277266972, 48.88329128295304], [2.308712943282213, 48.88399748973578], [2.307208884250521, 48.88522357991429], [2.309563618593012, 48.88597013718156], [2.310323901867206, 48.885402544096834], [2.310734065119798, 48.885013696659755], [2.310882630543066, 48.885122471672844], [2.313656051163419, 48.88380109524854]]], ""type"": ""Polygon""}";75;75117;Paris 17e Arrondissement;6602;751176602;Plaine Monceau 2;H;48.883932472629496, 2.3102440430973985;IRIS____0000000751176602
