Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
,,,,,,,000001,04/01/2024,Vente,"1042000,00",4,,VLA,7288,PERREUR,75020,PARIS 20,75,120,,BM,133,,147,,99,,,,,,,,2,2,Appartement,,86,4,,,
,,,,,,,000001,04/01/2024,Vente,"1042000,00",4,,VLA,7288,PERREUR,75020,PARIS 20,75,120,,BM,133,,147,,99,,,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,04/01/2024,Vente,"1042000,00",16,,RUE,2786,DE LA DHUIS,75020,PARIS 20,75,120,,BM,133,,39,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,04/01/2024,Vente,"1042000,00",16,,RUE,2786,DE LA DHUIS,75020,PARIS 20,75,120,,BM,133,,40,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,04/01/2024,Vente,"1042000,00",4,,VLA,7288,PERREUR,75020,PARIS 20,75,120,,BM,133,,147,,99,,,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,04/01/2024,Vente,"299120,00",17,B,RUE,8314,DU ROI D ALGER,75018,PARIS 18,75,118,,BF,53,,20,"36,88",21,,,,,,,,2,2,Appartement,,36,3,,,
,,,,,,,000001,03/01/2024,Vente,"426471,00",166,,AV,7067,PARMENTIER,75010,PARIS 10,75,110,,BJ,60,,22,,,,,,,,,,1,2,Appartement,,42,1,,,
,,,,,,,000001,08/01/2024,Vente,"778000,00",76,,RUE,9783,VIEILLE DU TEMPLE,75003,PARIS 03,75,103,,AP,26,,114,,,,,,,,,,1,2,Appartement,,60,3,,,
,,,,,,,000001,08/01/2024,Vente,"778000,00",76,,RUE,9783,VIEILLE DU TEMPLE,75003,PARIS 03,75,103,,AP,26,,130,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,08/01/2024,Vente,"778000,00",76,,RUE,9783,VIEILLE DU TEMPLE,75003,PARIS 03,75,103,,AP,26,,130,,,,,,,,,,1,2,Appartement,,63,3,,,
