Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
,,,,,,,000001,03/01/2023,Vente,"1825000,00",89,,RUE,8525,SAINT-DENIS,75001,PARIS 01,75,101,,AP,50,,1,"95,21",26,,27,,28,,29,,7,4,Local industriel. commercial ou assimilé,,165,0,,,
,,,,,,,000001,05/01/2023,Vente,"567000,00",51,,RUE,3084,DE L ECHIQUIER,75010,PARIS 10,75,110,,AV,75,,7,,8,,,,,,,,2,4,Local industriel. commercial ou assimilé,,52,0,,,
,,,,,,,000001,04/01/2023,Vente,"140000,00",178,,RUE,2387,DE COURCELLES,75017,PARIS 17,75,117,,BG,53,,57,"18,75",58,,,,,,,,2,2,Appartement,,18,1,,,
,,,,,,,000001,05/01/2023,Vente,"400000,00",12,,RUE,9508,TURGOT,75009,PARIS 09,75,109,,BD,36,,831,"43,80",,,,,,,,,1,2,Appartement,,43,1,,,
,,,,,,,000001,04/01/2023,Vente,"141343,12",63,B,RUE,2534,DAMREMONT,75018,PARIS 18,75,118,,AK,14,,34,"11,40",,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,03/01/2023,Vente,"295000,00",18,,RUE,3246,EMILE LEVEL,75017,PARIS 17,75,117,,DG,40,,14,,15,,,,,,,,2,2,Appartement,,28,2,,,
,,,,,,,000001,03/01/2023,Vente,"300400,00",75,,BD,0662,BARBES,75018,PARIS 18,75,118,,BV,98,,107,"36,11",120,,,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,03/01/2023,Vente,"300400,00",75,,BD,0662,BARBES,75018,PARIS 18,75,118,,BV,98,,107,"36,11",120,,,,,,,,2,2,Appartement,,36,2,,,
,,,,,,,000001,02/01/2023,Vente,"17300,00",121,,RUE,5976,MANIN,75019,PARIS 19,75,119,,CW,14,,88,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,03/01/2023,Vente,"1700,00",214,,RUE,3522,DU FBG ST MARTIN,75010,PARIS 10,75,110,,BW,56,,40,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,03/01/2023,Vente,"1700,00",214,,RUE,3522,DU FBG ST MARTIN,75010,PARIS 10,75,110,,BW,56,,40,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,03/01/2023,Vente,"1700,00",214,,RUE,3522,DU FBG ST MARTIN,75010,PARIS 10,75,110,,BW,56,,40,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,04/01/2023,Vente,"213000,00",8,,RUE,1139,BOUCRY,75018,PARIS 18,75,118,,CW,57,,1032,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,04/01/2023,Vente,"213000,00",8,,RUE,1139,BOUCRY,75018,PARIS 18,75,118,,CW,57,,1631,,438,,,,,,,,2,2,Appartement,,27,1,,,
,,,,,,,000001,04/01/2023,Vente,"213000,00",8,,RUE,1139,BOUCRY,75018,PARIS 18,75,118,,CW,57,,1631,,438,,,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,04/01/2023,Vente,"600000,00",82,,RUE,7504,PIXERECOURT,75020,PARIS 20,75,120,,AT,7,,2179,,2198,"85,81",,,,,,,2,2,Appartement,,85,4,,,
,,,,,,,000001,04/01/2023,Vente,"600000,00",72,,RUE,7504,PIXERECOURT,75020,PARIS 20,75,120,,AT,7,,2061,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,04/01/2023,Vente,"600000,00",82,,RUE,7504,PIXERECOURT,75020,PARIS 20,75,120,,AT,7,,2179,,2198,"85,81",,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,06/01/2023,Vente,"360000,00",128,,RUE,5473,LEGENDRE,75017,PARIS 17,75,117,,DK,100,,70,"35,02",,,,,,,,,1,2,Appartement,,36,1,,,
,,,,,,,000001,06/01/2023,Vente,"351400,00",21,,RUE,2157,DES CLOYS,75018,PARIS 18,75,118,,AW,34,,302,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,06/01/2023,Vente,"351400,00",21,,RUE,2157,DES CLOYS,75018,PARIS 18,75,118,,AW,34,,23,"31,08",39,,41,,,,,,3,2,Appartement,,30,2,,,
